transaction_id,date,location_id,product_id,quantity,unit_price_sold,gross_sales_amt,discount_amount,is_returned,return_reason,year,month,day,product_name,category,sub_category,price,location_type,city,state,region,discount_percentage
0816bdbed81a,2019-01-09,L001_WEB,P095,1,105.37,105.37,0.0,False,,2019,1,9,Matte Conditioner,Haircare,Conditioner,105.37,Web,,,Digital,0.0
b4bc21763e5e,2019-01-04,S023,P042,4,52.71,210.84,54.4,True,Allergic Reaction,2019,1,4,Volumizing Body Mist,Fragrance,Body Mist,66.31,Retail Store,Thomasberg,MO,Midwest,25.801555682033765
9c0c300e4dd6,2019-01-22,S014,P097,1,88.62,88.62,0.0,False,,2019,1,22,Hydrating Lipstick,Makeup,Lipstick,88.62,Retail Store,Port Craig,CO,Southeast,0.0
c6cd846ff755,2019-01-23,S009,P063,1,80.51,80.51,0.0,False,,2019,1,23,Hydrating Eau de Parfum,Fragrance,Eau de Parfum,80.51,Retail Store,South Colinstad,CT,Northeast,0.0
3bef0fc8390b,2019-01-20,L001_WEB,P031,2,37.12,74.24,0.0,False,,2019,1,20,Sheer Rollerball,Fragrance,Rollerball,37.12,Web,,,Digital,0.0
3ffb15b0db2a,2019-01-18,L001_WEB,P110,1,78.92,78.92,10.23,True,Wrong Shade,2019,1,18,Repairing Lipstick,Makeup,Lipstick,89.15,Web,,,Digital,12.962493664470351
380ea184f48a,2019-01-27,L001_WEB,P126,1,97.57,97.57,0.0,False,,2019,1,27,Matte Styling Cream,Haircare,Styling Cream,97.57,Web,,,Digital,0.0
f448bfe3afb0,2019-01-27,S020,P118,2,28.87,57.74,30.66,False,,2019,1,27,Hydrating Foundation,Makeup,Foundation,44.2,Retail Store,East Lydiamouth,WI,Midwest,53.10010391409767
ae1c0c96bd83,2019-01-09,S009,P138,2,59.61,119.22,0.0,False,,2019,1,9,Hydrating Styling Cream,Haircare,Styling Cream,59.61,Retail Store,South Colinstad,CT,Northeast,0.0
0925f13f719b,2019-01-19,S013,P069,1,89.66,89.66,0.0,False,,2019,1,19,Matte Body Mist,Fragrance,Body Mist,89.66,Retail Store,Port Keith,AZ,Southeast,0.0
